自己,能夠,學習,規劃,目標,主題,方法,活動,行動,體驗,覺知,成因,記錄,感受,改變,看法,支持,提供,獲得,證據,解方,提升,影響,成效,持續,習慣,重要性,責任感,希望感,同理心,態度價值觀,技能,認知,了解,應用,分析,反思,評估,創造,我們,他人,老師,學生,溝通表達,討論,讀寫,軟體,訪問,知行合一,提醒,統整,關心,努力,幫助,環境,在地,日常生活,資訊,整體,主要,次要,主動,被動,氣候變遷,永續發展,議題,範例,複雜,尊重,公平正義,減碳,塑膠,能源,環保,無痕飲食,蔬食,有機,塑料成癮,21天,時間,學期,商家,消費,產生,減少,廢棄物,健康,選擇,有益,組成,外觀,針對,不同,相似,歷程,具有,無法,歷來,現在,未來,實際,影片,提問,問卷,列出,評量,標準,課程,結合,有趣,讚,困難,可惜,正向,還好,不確定,負向,檢討,仔細,釐清,精確,準時,完成,經常,政府機構,家庭,生死,信仰,阻止,故意,表示,維繫,過時,不利,法規,科技,文化,利益,自由,源頭,個性
主人,可,所學,安排,方向,主軸,方式,活動,手作,參與 ,正視,因素,大事,心情,反撲,心得,支持,加上,取得,指數,回答,加長,大規模,成功,一定,訓練,不可缺少,負責,出路,同理心,值得,技能,已知,了解,引用,分析,反思,有無,挑戰,一同,人,老師,人文領域,口條,討論,典籍,軟體,訪問,知行合一,提前,統整,關心,大力,協助,大自然,在地,日常,內容,任何,主要,相關,主動,被動,升溫,不變,回收,大眾運輸,多元,中立,公平,CH4,保麗龍,天然氣,守衛,一次性,不吃肉,小農,成癮,21天,一年,期中,公司,花錢,出現,少用,垃圾,人體,抉擇,友善,本質,包裝,要求,不一樣,一樣,經歷,有,不,小時候,今天,之後,活生生,日記,提問,問卷,列出,考卷,尺規,上課,結合,好玩,不錯,不利,心疼,方便,大概,不一定,乏力,不以為意,仔細,明白,切實,如期,完成,非常,政治,一家人,分屍,宗教,丟棄,特意,代表,維持,老舊,不利,法令,化學,文化,成本,自由,源頭,人格
主角,可以,養成,計畫,目的,主題,方法,策展,行為,經歷,注意,成因,工作量,老實說,成為,以為,同意,帶來,得出,圖表,作答,加強,大量,成果,一直,培養,必要,負責任,生命力,凝聚力,態度,能力,知道,了解到,用於,比較,回顧,判斷,處理,一起,人們,助教,中文系,口語表達,談論,書,,訪談,融會貫通,提醒,匯合,關注,心力,幫忙,公園,地方,日常生活,文章,全部,主體,相關,自主,,天氣,永遠,汙染,不人道,多變,包容,公平正義,CO2,減塑,太陽能,保育,內用,少吃肉,友善農業,塑料,21,一陣子,期末,反商,省下錢,生產,降低,廢棄物,身體,決定,合適,成分,外貌,追求,不同,大致,過程,具備,不再,之前,目前,以後,真的,水族館,問題,調查,,考試,限制,用具,合併,有趣,太多,困擾,可惜,可信,有些,不知所措,死板板,不道德,完美,明顯,正確,準時,做出 ,時常,某國,家人,生存,信仰,杜絕,故意,表示,維繫,破損,不適,法律,半導體,石膏,利益,開放,出發點,性格
本身,可能,學,計劃,目標,標題,作法,展覽,行動,經驗,注意到,原因,片段,受到,改成,印象,適應,提出,得到,數據,答案,加深,引入,成效,下定決心,習慣,必要性,負擔,成就感,,態度價值觀,動作,知識,接受,利用,是非,考慮,批判,創造,大家,人員,師長,主修,口頭表達,辯論,書本,,,,監督,彙整,關懷,付出,幫助,世界,當地,平時,具體細節,全然,直接,連帶,動機,,氣候,永續,污染,手搖飲,極端,正反,平等,二氧化碳,塑膠,太陽能板,保護,吃飯,少肉,有機,塑料成癮,,中期,學校,企業,省錢,建立,減少,,身體健康,決策,有利,成份,外觀,針對,未必,相同,範圍,具有,不至於,以前,現今,未來,現實,全境,,,,表單,評分,用品,,快樂,充實 ,困難,可憐,安心,有限,如果,辛苦,太扯了,完善,清楚,明確,,做完,常,院方,家庭,生存空間,,拒絕,,表現,聯絡,缺頁,反感,法條,技術,石膏模,利潤,開放性,,性情
自己 ,有,學到 ,規劃,走向,題目,框架,,作為,過程,看,緣由,回饋,發覺,改為,形象,贊成,提議,獲得,證明,解方,改善,引起,作品,每天,養成,必須,責任,希望,,價值,,要素,理解,使用,相比,思考,到底,創意,小組,人群,專家,同學,口頭報告,,書寫,,,,,,,努力,,生物,,平常,信息,全體,急於,部分,,,氣候變遷,永續發展,食安,日本,衝突,重視,平衡,甲烷,塑膠吸管,手機,維護,自備袋子,少肉食,有機產品,塑膠成癮,,天,學期,商品,消費,建造,極簡,,健康,參考,有益,材料,神情,基於,特別,相似,歷程,抱有,不能,那時,現在,自此,落實,全境擴散,,,,面試,評分標準,粉筆,,哈哈,可愛,做不了,惋惜,成長,有點,困惑,累,自私,完整,釐清,精細,,做到,常常,國家,,生命,,物極必反,,表態,,過時,氾濫,法規,物質,弦,金融,,,個性
自主,要,學習,設計,靶心,,做法,,找,體會到,看出來,緣故,作業,感言,改善,角度,願意,給,賺取,證據,解答,改進,加速,效果,長時間,養成習慣,必需,責任感,希望感,,價值觀,,重點,確定,使用率,辨別,省思,是否,解決,互相,人類,演講,物理系,分享,,書籍,,,,,,,投入,,全球,,生活,頁數,完全,為主,關於,,,變遷,依舊,食品安全,木材,複雜,專心,正義,排放,塑膠盒,水力,環保,自備餐具,牛肉,有機農業,資源杯,,天數,,商家,消費者,產生,極簡主義,,,選,對待,材質,模樣,設定,特殊,相符,,,不會,既定,當下,往後,實在,抹香鯨,,,,紙,準則,教,,高興,多,難,悶悶不樂,忘不了,至少,忘記,麻煩,忽略,細心,顯著,精確,,達成,經常,組織,,死亡,,阻止,,顯示,,,有害,權利,研究,氣泡紙,金錢,,,溫馴
自行,能,學習到 ,準備,標靶,,渠道,,受訓,體驗,看完,,事,感到,改變,念頭,,傳遞,,,,更加,巨大,效益,保持,,重要,,契機,,,,記得,懂,取得,,動動腦,能否,解脫,分組,他,講者,社會領域,告訴,,教材,,,,,,,投入心力,,地球,,生活中,細節,完善,通常,關係,,,,發展,案例,木頭,,尊重,,排放出,塑膠袋,用電,環境保育,食用,吃肉,無毒,,,月,,商業,買,發生,避免,,,選項,適合,組成,樣子,訴求,額外,類似,,,沒,原本,,後來,實際,虎鯨,,,,紙本,標準,教育,,喜歡,好,難處,衝擊,取悅,尚可,沒想到,厭煩,表面性,細膩,,確實,,達到 ,,部會,,死亡,,帶離,,,,,使壞,,科技,清洗,鈔票,,,
自我,能夠,學會,預備,趨向,,策略,,訓練,體驗到,看見,,事情,感受,改觀,信念,,,,,,更多,吸引,特色,持久,,重要性,,理想,,,,記憶,,動用 ,,動腦,評估,,同事,他人,講師,科目,表達,,教科書,,,,,,,前進,,自然,,生活品質,報告,完整,優先,關係到,,,,,海岸,水上樂園,,尊敬,,減碳,塑膠微粒,用電量,環境保護,料理,吃素,,,,白天,,商機,購買,萌生,,,,選擇,,零件,,對,,,,,沒有,從來,,將來,實質,紀錄片,,,,紙張,,教具,,開心,好看,難過,震驚,欣賞,相當,是否可行,繁瑣,差點中斷,極致,,,,,,,,自滅,,遠離,,,,,受害,,科學,陶藝,鈔票入袋,,,
自身,能救,,,,,對策,,做,,看到,,事實,感受到,更換,看法,,,,,,更為,吸引力,特點,持之以恆,,理所當然,,期待,,,,常識,,採用,,深入,評鑑,,同時,民眾,,科系,表演,,寫,,,,,,,動力,,牠,,身旁,新聞,系統,,觸及,,,,,動物保護,水族館,,無法忽視,,碳排,塑膠製品,石化燃料,,無痕,吃菜,,,,早上,,產業,,製造,,,,,,,,對於,,,,,沒辦法,歷來,,從此,,食物,,,,紙筆,,教案,,新奇,好棒,,,恢復,普通,為什麼,,健忘,詳細,,,,,,,,受傷,,避開,,,,,砍伐,,,畫作,會計,,,
自訂,會,,,,,模式,,做下去 ,,看看,,紀錄,感知,更新,理念,,,,,,強化,局面,產物,持續,,理所應當,,機會,,,,得知,,採取,,深層,會不會,,同學 ,她,,音樂系,宣導,,寫字,,,,,,,盡力,,岩石,,身邊,資料,整個,,纏繞,,,,,圈養,父母,,傾聽,,樹木,微粒,石油,,無痕飲食,多吃菜,,,,早日,,業者,,製程,,,,,,,,講求,,,,,無,,,從此之後,,食物的演化,,,,筆,,設備,,興趣,良好,,,珍惜,還可以,秘密,,羞愧,,,,,,,,,射殺,,斷絕,,,,,浪費,,,畫筆,經濟,,,
