',一下,內捲,才,一一,,
-,了,比,不只,一部,,
–,又,出來,不僅,一幕,,
—,上,出門,不管,二,,
！,下去,包含,反而,三,,
!,下來,去,只,大,,
（,也,用,只有,小,,-
(,也許,向來,只是,太,,
）,中,在,只要,方面,,
),之上,好下,可是,件,,
，,之下,含,由,份,,
",",之間,坐,由於,次,,
、,內,身處,因此,乖乖,,
．,天,來,因為,兩,,
。,且,來說,在於,明明,,
：,以,到,多少,東西,,
；,以及,所屬,如此,者,,
？,以來,抽出,如何,個,,
[,另外,便,有所,們,,
],外面,便會,有點,原來,,
_,先,是,此,套,,
＿＿,先去,要去,此外,根,,
﹏﹏,再,拿,此為,隻,,
～,各,欲,而,堂,,
〈,好了,等,而已,深深,,
〉,好嗎,會用,而是,處處,,
《 ,早,裝,但是,部,,
》,而且,過,即可,單方面,,
「,何,算是,即使,場所,,
」,吧,請問,即便,萌萌,,
『,每,遭到,把,量,,
』,那,屬於,更,項,,
──,那麼,能,並非,歲,,
……,那樣,之,其,話,,
,並,,其實,過,,
,並且,,所,夢回,,
,些,,所以,滿,,
,使,,於,,,
,其中,,很,,,
,呢,,怎麼,,,
,和,,怎樣,,,
,或,,為,,,
,或者,,為了,,,
,或是,,為何,,,
,或許,,甚至,,,
,的,,甚麼,,,
,後,,若,,,
,某,,倘若,,,
,哪,,時,,,
,哪裡,,真的,,,
,唷,,唯一,,,
,從中,,將,,,
,這,,從,,,
,這些,,透過,,,
,這是,,逐漸,,,
,這麼,,這麼多,,,
,連,,都,,,
,都,,就,,,
,嗎,,就是,,,
,當,,幾乎,,,
,當中,,最,,,
,裡面,,無論,,,
,跟,,進而,,,
,與,,經由,,,
,罷了,,經過後,,,
,,,漸漸,,,
,,,還,,,
,,,還是,,,
,,,雖然,,,
,,,點,,,
,,,讓,,,
